employee_id,join_date,department,designation,age,salary_inr,performance_score,phone,is_active,manager_id
EMP00433,2020-12-15,Operations,Ops Analyst,55,526263.0,2.9055488158950786,+91-8464788215,True,
EMP01027,2019-04-21,Sales,Sales Manager,35,4347655.0,2.656506477967709,+91-7850881985,True,EMP00184
EMP00355,2019-01-15,HR,VP HR,39,1251060.0,2.634078808182947,+91-7253956873,True,EMP00069
EMP00670,2017-06-19,HR,VP HR,28,1919780.0,2.6376422751534974,+91-7030256622,True,EMP00155
EMP00644,2025-02-09,Engineering,Senior SDE,36,4012916.0,3.6106079482801476,+91-8964357873,True,EMP00177
EMP00245,2025-01-31,HR,VP HR,57,4541842.0,4.469655256742129,+91-9371774827,True,EMP00014
EMP00060,2023-05-31,HR,HR Manager,34,4989942.0,,+91-7312200984,True,EMP00012
EMP00599,2022-05-14,Sales,VP Sales,40,2425826.0,2.279234206697117,+91-7848731809,True,EMP00198
EMP00238,2020-03-18,Sales,Account Executive,40,2527620.0,2.5669569631809472,+91-9661249554,True,EMP00163
EMP00501,2020-12-29,Operations,Ops Manager,48,3307303.0,4.958735329551789,,True,EMP00112
EMP00031,2022-05-13,Sales,Sales Manager,52,3098615.0,2.3002800759782223,+91-9945890759,True,
EMP00353,2017-08-08,Marketing,Marketing Analyst,38,3035296.0,,+91-9887662697,True,EMP00044
EMP01366,2021-03-29,Engineering,SDE I,37,2565579.0,2.8826790056858047,+91-8987475082,True,
EMP01282,2018-10-08,Engineering,SDE II,31,1224575.0,3.5073058591092785,43312065,False,EMP00107
EMP00837,2026-07-12,Sales,SDR,57,2234260.0,4.1466231438553995,+91-7881430929,True,EMP00007
EMP00304,2024-08-04,Engineering,SDE II,44,4897618.0,4.674895344357349,17403422,True,EMP00138
EMP00482,2020-11-22,Engineering,Staff SDE,35,2980364.0,2.3439586933358103,,True,EMP00101
EMP01050,2018-05-28,Finance,Analyst,40,3714520.0,4.446053854305071,+91-9939627518,True,EMP00119
EMP00260,2024-09-05,Sales,SDR,37,3573713.0,3.9947945709803276,+91-7094200268,False,EMP00164
EMP00519,2026-03-09,Finance,Senior Analyst,30,4784314.0,4.619752807919335,01236460,False,EMP00112
EMP01426,2025-01-09,Sales,VP Sales,51,1969922.0,,+91-9535982822,False,
EMP00176,2021-12-24,Engineering,Senior SDE,33,3232144.0,2.1254125320914605,+91-8078562603,False,
EMP00221,2018-05-11,Operations,Ops Analyst,37,840134.0,4.134081633327897,+91-7678500113,True,EMP00177
EMP00655,2024-03-24,Engineering,Staff SDE,46,3163770.0,3.6468970141722905,+91-9129284570,True,EMP00125
EMP01389,2020-07-09,Sales,SDR,22,1573212.0,,,True,EMP00112
EMP00382,2025-04-03,HR,VP HR,45,1108413.0,4.9812946300675085,+91-7180060037,False,EMP00003
EMP01044,2024-11-12,Sales,SDR,22,4579797.0,4.681140887627265,85051050,True,EMP00130
EMP00276,2020-04-22,HR,VP HR,26,1105171.0,4.159663607665525,+91-9520939973,True,EMP00178
EMP01264,2018-03-25,Engineering,Senior SDE,25,508564.0,2.5025734006990703,+91-7233834208,True,EMP00070
EMP01064,2020-06-02,Sales,VP Sales,25,879075.0,4.581034918991673,+91-7032529245,False,EMP00045
EMP01106,2020-12-05,HR,HRBP,38,405476.0,2.465020606756809,,True,EMP00198
EMP00125,2017-01-11,Sales,Account Executive,32,3839858.0,2.9183385028756867,+91-9222318262,True,EMP00069
EMP00299,2021-10-29,HR,HRBP,53,739758.0,3.4809917403265818,07625544,True,EMP00145
EMP00592,2023-05-13,Marketing,Campaign Manager,56,1718009.0,2.8438578274896673,31117637,True,EMP00108
EMP01138,2024-07-25,Engineering,Senior SDE,50,4751596.0,2.2486612604408927,+91-7413413432,True,EMP00035
EMP01402,2025-09-20,Engineering,Staff SDE,51,3983047.0,2.264617739753944,+91-9062636549,True,EMP00141
EMP00986,2018-03-25,Operations,COO,56,4543126.0,2.2670111505008617,+91-8046287396,True,EMP00153
EMP01427,2024-08-31,Finance,Analyst,22,4203269.0,3.508517861402929,+91-8388369754,True,EMP00113
EMP00809,2024-02-19,Finance,Senior Analyst,48,3112819.0,2.6970097532057986,+91-9690566883,True,EMP00158
EMP00562,2022-11-06,Sales,VP Sales,27,40968.166666666664,2.3274117078777037,+91-8920840003,True,EMP00060
EMP00066,2021-10-22,Sales,Account Executive,49,425693.0,3.703763804185226,+91-7206840678,True,EMP00139
EMP00142,2023-03-22,Marketing,Campaign Manager,23,67633.91666666667,4.084874263821073,+91-9580161367,True,EMP00045
EMP00782,2018-05-20,Sales,Sales Manager,30,4257753.0,4.50348073810731,+91-7058535974,True,EMP00050
EMP00395,2021-01-05,Operations,Ops Analyst,24,2097075.0,4.440763983581542,+91-9990693319,True,EMP00026
EMP00275,2018-01-31,Finance,Analyst,23,2553755.0,2.2486892125396545,+91-8059819363,True,
EMP01097,2022-02-22,Finance,Manager,23,2020179.0,2.609760038719109,+91-9916558324,True,EMP00155
EMP00630,2020-07-09,Finance,Director,36,4418862.0,,20303536,True,EMP00055
